taken_on,ticker,price,rating,score,peg,target_mean
2026-09-22,ALRM,53.16,HOLD,41.4339793772271,1.8821697826086956,63.0
2026-09-22,APPF,206.27,BUY,62.272796568430735,1.267620829015544,234.16125
2026-09-22,BLKB,42.13,SELL,26.32531144604476,2.352317333333333,51.5
2026-09-22,BSY,31.86,HOLD,46.99947310468351,1.5805478124999999,44.0
2026-09-22,CSGP,28.77,BUY,69.95513474340154,0.8815248369565218,37.3
2026-09-22,DOCS,26.51,SELL,22.356730887326613,2.3438753424657532,29.94444
2026-09-22,EVCM,8.06,SELL,13.269836323008132,3.781204444444444,11.0
2026-09-22,GWRE,150.46,HOLD,41.71754499527006,1.8398169934640525,213.2857
2026-09-22,INTA,36.09,HOLD,52.538703228215766,1.4195264615384615,40.28571
2026-09-22,IOT,38.26,BUY,60.311599545750845,1.3476551170568563,52.15652
2026-09-22,NCNO,19.67,HOLD,40.93479102857805,1.515960731707317,24.27273
2026-09-22,PCOR,50.85,HOLD,55.30730677950275,1.3555246835443038,68.38095
2026-09-22,PCTY,145.71,BUY,61.40298996744497,1.3675811818181818,172.0
2026-09-22,QTWO,56.86,HOLD,57.599126221610284,1.3394412698412699,76.5
2026-09-22,SMRT,1.19,HOLD,43.47341055341055,,1.45
2026-09-22,TOST,29.65,BUY,79.70127838389323,0.739559393939394,38.92308
2026-09-22,TTAN,61.56,HOLD,41.42211682189492,1.7803117224880383,97.53333
2026-09-22,TYL,331.05,SELL,19.51195804304515,2.629828780487805,426.63635
2026-09-22,VEEV,260.91,HOLD,56.33275075458532,1.4461957386363637,297.2963
2026-09-22,WEAV,7.34,HOLD,43.91532538709677,1.9133269032258065,7.4
2026-09-22,WK,69.83,BUY,77.46147999717323,0.9270337634408601,89.8
2026-09-22,ZG,31.59,BUY,74.6900676939402,0.6038432960893855,47.22727
